formula,categoria,descripcion,url,sintaxis,nombreFormula,idioma
IPMT,Financial,Returns the interest payment for an investment for a given period,https://support.microsoft.com/en-us/office/ipmt-function-5cce0ad6-8402-4a41-8d29-61a0b054cb6f,"IPMT(rate, per, nper, pv, [fv], [type])",IPMT,en-us
IRR,Financial,Returns the internal rate of return for a series of cash flows,https://support.microsoft.com/en-us/office/irr-function-64925eaa-9988-495b-b290-3ad0c163c1bc,"IRR(values, [guess])",IRR,en-us
ISBLANK,Information,Returns TRUE if the value is blank,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665,ISBLANK(value),IS,en-us
ISERR,Information,Returns TRUE if the value is any error value except #N/A,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665,ISBLANK(value),IS,en-us
ISERROR,Information,Returns TRUE if the value is any error value,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665,ISBLANK(value),IS,en-us
ISEVEN,Information,Returns TRUE if the number is even,https://support.microsoft.com/en-us/office/iseven-function-aa15929a-d77b-4fbb-92f4-2f479af55356,ISEVEN(number),ISEVEN,en-us
ISFORMULA,Information,Returns TRUE if there is a reference to a cell that contains a formula,https://support.microsoft.com/en-us/office/isformula-function-e4d1355f-7121-4ef2-801e-3839bfd6b1e5,ISFORMULA(reference),ISFORMULA,en-us
ISLOGICAL,Information,Returns TRUE if the value is a logical value,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665,ISBLANK(value),IS,en-us
ISNA,Information,Returns TRUE if the value is the #N/A error value,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665,ISBLANK(value),IS,en-us
ISNONTEXT,Information,Returns TRUE if the value is not text,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665,ISBLANK(value),IS,en-us
ISNUMBER,Information,Returns TRUE if the value is a number,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665,ISBLANK(value),IS,en-us
ISODD,Information,Returns TRUE if the number is odd,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665,ISBLANK(value),IS,en-us
ISOMITTED,Information,is missing and returns TRUE or FALSE,https://support.microsoft.com/en-us/office/isomitted-function-831d6fbc-0f07-40c4-9c5b-9c73fd1d60c1,=ISOMITTED(argument),ISOMITTED,en-us
ISREF,Information,Returns TRUE if the value is a reference,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665,ISBLANK(value),IS,en-us
ISTEXT,Information,Returns TRUE if the value is text,https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665,ISBLANK(value),IS,en-us
ISO.CEILING,Math and trigonometry,Returns a number that is rounded up to the nearest integer or to the nearest multiple of significance,https://support.microsoft.com/en-us/office/iso-ceiling-function-e587bb73-6cc2-4113-b664-ff5b09859a83,"ISO.CEILING(number, [significance])",ISO.CEILING,en-us
ISOWEEKNUM,Date and time,Returns the number of the ISO week number of the year for a given date,https://support.microsoft.com/en-us/office/isoweeknum-function-1c2d0afe-d25b-4ab1-8894-8d0520e90e0e,ISOWEEKNUM(date),ISOWEEKNUM,en-us
ISPMT,Financial,Calculates the interest paid during a specific period of an investment,https://support.microsoft.com/en-us/office/ispmt-function-fa58adb6-9d39-4ce0-8f43-75399cea56cc,=ISPMT(),ISPMT,en-us
JIS,Text,Changes half-width (single-byte) characters within a string to full-width (double-byte) characters,https://support.microsoft.com/en-us/office/jis-function-b72fb1a7-ba52-448a-b7d3-d2610868b7e2,JIS(text),JIS,en-us
KURT,Statistical,Returns the kurtosis of a data set,https://support.microsoft.com/en-us/office/kurt-function-bc3a265c-5da4-4dcb-b7fd-c237789095ab,"KURT(number1, [number2], ...)",KURT,en-us
LAMBDA,Logical,"Create custom, reusable functions and call them by a friendly name",https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67,"=LAMBDA([parameter1, parameter2, …,] calculation)    ",LAMBDA,en-us
LARGE,Statistical,Returns the k-th largest value in a data set,https://support.microsoft.com/en-us/office/large-function-3af0af19-1190-42bb-bb8b-01672ec00a64,"LARGE(array, k)",LARGE,en-us
LCM,Math and trigonometry,Returns the least common multiple,https://support.microsoft.com/en-us/office/lcm-function-7152b67a-8bb5-4075-ae5c-06ede5563c94,"LCM(number1, [number2], ...)",LCM,en-us
"LEFT, LEFTB S",Text,Returns the leftmost characters from a text value,https://support.microsoft.com/en-us/office/left-leftb-functions-9203d2d2-7960-479b-84c6-1ea52b99640c,"LEFT(text, [num_chars])","LEFT,",en-us
"LEN, LENB S",Text,Returns the number of characters in a text string,https://support.microsoft.com/en-us/office/len-lenb-functions-29236f94-cedc-429d-affd-b5e33d2c67cb,LEN(text),"LEN,",en-us
LET,Logical,Assigns names to calculation results,https://support.microsoft.com/en-us/office/let-function-34842dd8-b92b-4d3f-b325-b8b8f9908999,"=IF(ISBLANK(FILTER(A2:D8,A2:A8=""Fred"")),""-"", FILTER(A2:D8,A2:A8=""Fred""))",LET,en-us
LINEST,Statistical,Returns the parameters of a linear trend,https://support.microsoft.com/en-us/office/linest-function-84d7d0d9-6e50-4101-977a-fa7abf772b6d,"LINEST(known_y's, [known_x's], [const], [stats])",LINEST,en-us
LN,Math and trigonometry,Returns the natural logarithm of a number,https://support.microsoft.com/en-us/office/ln-function-81fe1ed7-dac9-4acd-ba1d-07a142c6118f,LN(number),LN,en-us
LOG,Math and trigonometry,Returns the logarithm of a number to a specified base,https://support.microsoft.com/en-us/office/log-function-4e82f196-1ca9-4747-8fb0-6c4a3abb3280,"LOG(number, [base])",LOG,en-us
LOG10,Math and trigonometry,Returns the base-10 logarithm of a number,https://support.microsoft.com/en-us/office/log10-function-c75b881b-49dd-44fb-b6f4-37e3486a0211,LOG10(number),LOG10,en-us
LOGEST,Statistical,Returns the parameters of an exponential trend,https://support.microsoft.com/en-us/office/logest-function-f27462d8-3657-4030-866b-a272c1d18b4b,=LOGEST(),LOGEST,en-us
LOGINV,Compatibility,Returns the inverse of the lognormal cumulative distribution,https://support.microsoft.com/en-us/office/loginv-function-0bd7631a-2725-482b-afb4-de23df77acfe,"LOGINV(probability, mean, standard_dev)",LOGINV,en-us
LOGNORM.DIST,Statistical,Returns the cumulative lognormal distribution,https://support.microsoft.com/en-us/office/lognorm-dist-function-eb60d00b-48a9-4217-be2b-6074aee6b070,"LOGNORM.DIST(x,mean,standard_dev,cumulative)",LOGNORM.DIST,en-us
LOGNORMDIST,Compatibility,Returns the cumulative lognormal distribution,https://support.microsoft.com/en-us/office/lognormdist-function-f8d194cb-9ee3-4034-8c75-1bdb3884100b,"LOGNORMDIST(x,mean,standard_dev)",LOGNORMDIST,en-us
LOGNORM.INV,Statistical,Returns the inverse of the lognormal cumulative distribution,https://support.microsoft.com/en-us/office/lognorm-inv-function-fe79751a-f1f2-4af8-a0a1-e151b2d4f600,"LOGNORM.INV(probability, mean, standard_dev)",LOGNORM.INV,en-us
LOOKUP,Lookup and reference,Looks up values in a vector or array,https://support.microsoft.com/en-us/office/lookup-function-446d94af-663b-451d-8251-369d5e3864cb,"LOOKUP(lookup_value, lookup_vector, [result_vector])",LOOKUP,en-us
LOWER,Text,Converts text to lowercase,https://support.microsoft.com/en-us/office/lower-function-3f21df02-a80c-44b2-afaf-81358f9fdeb4,LOWER(text),LOWER,en-us
MAKEARRAY,Logical,LAMBDA,https://support.microsoft.com/en-us/office/makearray-function-b80da5ad-b338-4149-a523-5b221da09097,"=MAKEARRAY(rows, cols, lambda(row, col))",MAKEARRAY,en-us
MAP,Logical,to create a new value,https://support.microsoft.com/en-us/office/map-function-48006093-f97c-47c1-bfcc-749263bb1f01,"=MAP (array1, lambda_or_array<#>)",MAP,en-us
MATCH,Lookup and reference,Looks up values in a reference or array,https://support.microsoft.com/en-us/office/match-function-e8dffd45-c762-47d6-bf89-533f4a37673a,"MATCH(lookup_value, lookup_array, [match_type])",MATCH,en-us
MAX,Statistical,Returns the maximum value in a list of arguments,https://support.microsoft.com/en-us/office/max-function-e0012414-9ac8-4b34-9a47-73e662c08098,"MAX(number1, [number2], ...)",MAX,en-us
MAXA,Statistical,"Returns the maximum value in a list of arguments, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/maxa-function-814bda1e-3840-4bff-9365-2f59ac2ee62d,"MAXA(value1,[value2],...)",MAXA,en-us
MAXIFS,Statistical,Returns the maximum value among cells specified by a given set of conditions or criteria,https://support.microsoft.com/en-us/office/maxifs-function-dfd611e6-da2c-488a-919b-9b6376b28883,"MAXIFS(max_range, criteria_range1, criteria1, [criteria_range2, criteria2], ...)",MAXIFS,en-us
MDETERM,Math and trigonometry,Returns the matrix determinant of an array,https://support.microsoft.com/en-us/office/mdeterm-function-e7bfa857-3834-422b-b871-0ffd03717020,MDETERM(array),MDETERM,en-us
MDURATION,Financial,Returns the Macauley modified duration for a security with an assumed par value of $100,https://support.microsoft.com/en-us/office/mduration-function-b3786a69-4f20-469a-94ad-33e5b90a763c,"MDURATION(settlement, maturity, coupon, yld, frequency, [basis])",MDURATION,en-us
MEDIAN,Statistical,Returns the median of the given numbers,https://support.microsoft.com/en-us/office/median-function-d0916313-4753-414c-8537-ce85bdd967d2,"MEDIAN(number1, [number2], ...)",MEDIAN,en-us
"MID, MIDB S",Text,Returns a specific number of characters from a text string starting at the position you specify,https://support.microsoft.com/en-us/office/mid-midb-functions-d5f9e25c-d7d6-472e-b568-4ecb12433028,"MID(text, start_num, num_chars)","MID,",en-us
MIN,Statistical,Returns the minimum value in a list of arguments,https://support.microsoft.com/en-us/office/min-function-61635d12-920f-4ce2-a70f-96f202dcc152,"MIN(number1, [number2], ...)",MIN,en-us
MINIFS,Statistical,Returns the minimum value among cells specified by a given set of conditions or criteria.,https://support.microsoft.com/en-us/office/minifs-function-6ca1ddaa-079b-4e74-80cc-72eef32e6599,"MINIFS(min_range, criteria_range1, criteria1, [criteria_range2, criteria2], ...)",MINIFS,en-us
MINA,Statistical,"Returns the smallest value in a list of arguments, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/mina-function-245a6f46-7ca5-4dc7-ab49-805341bc31d3,"MINA(value1, [value2], ...)",MINA,en-us
MINUTE,Date and time,Converts a serial number to a minute,https://support.microsoft.com/en-us/office/minute-function-af728df0-05c4-4b07-9eed-a84801a60589,MINUTE(serial_number),MINUTE,en-us
MINVERSE,Math and trigonometry,Returns the matrix inverse of an array,https://support.microsoft.com/en-us/office/minverse-function-11f55086-adde-4c9f-8eb9-59da2d72efc6,=MINVERSE(),MINVERSE,en-us
MIRR,Financial,Returns the internal rate of return where positive and negative cash flows are financed at different rates,https://support.microsoft.com/en-us/office/mirr-function-b020f038-7492-4fb4-93c1-35c345b53524,"MIRR(values, finance_rate, reinvest_rate)",MIRR,en-us
MMULT,Math and trigonometry,Returns the matrix product of two arrays,https://support.microsoft.com/en-us/office/mmult-function-40593ed7-a3cd-4b6b-b9a3-e4ad3c7245eb,=MMULT(),MMULT,en-us
MOD,Math and trigonometry,Returns the remainder from division,https://support.microsoft.com/en-us/office/mod-function-9b6cd169-b6ee-406a-a97b-edf2a9dc24f3,"MOD(number, divisor)",MOD,en-us
MODE,Compatibility,Returns the most common value in a data set,https://support.microsoft.com/en-us/office/mode-function-e45192ce-9122-4980-82ed-4bdc34973120,"MODE(number1,[number2],...)",MODE,en-us
MODE.MULT,Statistical,"Returns a vertical array of the most frequently occurring, or repetitive values in an array or range of data",https://support.microsoft.com/en-us/office/mode-mult-function-50fd9464-b2ba-4191-b57a-39446689ae8c,"MODE.MULT((number1,[number2],...)",MODE.MULT,en-us
MODE.SNGL,Statistical,Returns the most common value in a data set,https://support.microsoft.com/en-us/office/mode-sngl-function-f1267c16-66c6-4386-959f-8fba5f8bb7f8,"MODE.SNGL(number1,[number2],...)",MODE.SNGL,en-us
MONTH,Date and time,Converts a serial number to a month,https://support.microsoft.com/en-us/office/month-function-579a2881-199b-48b2-ab90-ddba0eba86e8,MONTH(serial_number),MONTH,en-us
MROUND,Math and trigonometry,Returns a number rounded to the desired multiple,https://support.microsoft.com/en-us/office/mround-function-c299c3b0-15a5-426d-aa4b-d2d5b3baf427,"MROUND(number, multiple)",MROUND,en-us
MULTINOMIAL,Math and trigonometry,Returns the multinomial of a set of numbers,https://support.microsoft.com/en-us/office/multinomial-function-6fa6373c-6533-41a2-a45e-a56db1db1bf6,"MULTINOMIAL(number1, [number2], ...)",MULTINOMIAL,en-us
MUNIT,Math and trigonometry,Returns the unit matrix or the specified dimension,https://support.microsoft.com/en-us/office/munit-function-c9fe916a-dc26-4105-997d-ba22799853a3,=MUNIT(),MUNIT,en-us
N,Information,Returns a value converted to a number,https://support.microsoft.com/en-us/office/n-function-a624cad1-3635-4208-b54a-29733d1278c9,N(value),N,en-us
NA,Information,Returns the error value #N/A,https://support.microsoft.com/en-us/office/na-function-5469c2d1-a90c-4fb5-9bbc-64bd9bb6b47c,=NA(),NA,en-us
NEGBINOM.DIST,Statistical,Returns the negative binomial distribution,https://support.microsoft.com/en-us/office/negbinom-dist-function-c8239f89-c2d0-45bd-b6af-172e570f8599,"NEGBINOM.DIST(number_f,number_s,probability_s,cumulative)",NEGBINOM.DIST,en-us
NEGBINOMDIST,Compatibility,Returns the negative binomial distribution,https://support.microsoft.com/en-us/office/negbinomdist-function-f59b0a37-bae2-408d-b115-a315609ba714,"NEGBINOMDIST(number_f,number_s,probability_s)",NEGBINOMDIST,en-us
NETWORKDAYS,Date and time,Returns the number of whole workdays between two dates,https://support.microsoft.com/en-us/office/networkdays-function-48e717bf-a7a3-495f-969e-5005e3eb18e7,"NETWORKDAYS(start_date, end_date, [holidays])",NETWORKDAYS,en-us
NETWORKDAYS.INTL,Date and time,Returns the number of whole workdays between two dates using parameters to indicate which and how many days are weekend days,https://support.microsoft.com/en-us/office/networkdays-intl-function-a9b26239-4f20-46a1-9ab8-4e925bfd5e28,"NETWORKDAYS.INTL(start_date, end_date, [weekend], [holidays])",NETWORKDAYS.INTL,en-us
NOMINAL,Financial,Returns the annual nominal interest rate,https://support.microsoft.com/en-us/office/nominal-function-7f1ae29b-6b92-435e-b950-ad8b190ddd2b,"NOMINAL(effect_rate, npery)",NOMINAL,en-us
NORM.DIST,Statistical,Returns the normal cumulative distribution,https://support.microsoft.com/en-us/office/norm-dist-function-edb1cc14-a21c-4e53-839d-8082074c9f8d,"NORM.DIST(x,mean,standard_dev,cumulative)",NORM.DIST,en-us
NORMDIST,Compatibility,Returns the normal cumulative distribution,https://support.microsoft.com/en-us/office/normdist-function-126db625-c53e-4591-9a22-c9ff422d6d58,"NORMDIST(x,mean,standard_dev,cumulative)",NORMDIST,en-us
NORMINV,Statistical,Returns the inverse of the normal cumulative distribution,https://support.microsoft.com/en-us/office/norminv-function-87981ab8-2de0-4cb0-b1aa-e21d4cb879b8,"NORMINV(probability,mean,standard_dev)",NORMINV,en-us
NORM.INV,Compatibility,Returns the inverse of the normal cumulative distribution,https://support.microsoft.com/en-us/office/norm-inv-function-54b30935-fee7-493c-bedb-2278a9db7e13,"NORM.INV(probability,mean,standard_dev)",NORM.INV,en-us
NORM.S.DIST,Statistical,Returns the standard normal cumulative distribution,https://support.microsoft.com/en-us/office/norm-s-dist-function-1e787282-3832-4520-a9ae-bd2a8d99ba88,"NORM.S.DIST(z,cumulative)",NORM.S.DIST,en-us
NORMSDIST,Compatibility,Returns the standard normal cumulative distribution,https://support.microsoft.com/en-us/office/normsdist-function-463369ea-0345-445d-802a-4ff0d6ce7cac,NORMSDIST(z),NORMSDIST,en-us
NORM.S.INV,Statistical,Returns the inverse of the standard normal cumulative distribution,https://support.microsoft.com/en-us/office/norm-s-inv-function-d6d556b4-ab7f-49cd-b526-5a20918452b1,NORM.S.INV(probability),NORM.S.INV,en-us
NORMSINV,Compatibility,Returns the inverse of the standard normal cumulative distribution,https://support.microsoft.com/en-us/office/normsinv-function-8d1bce66-8e4d-4f3b-967c-30eed61f019d,NORMSINV(probability),NORMSINV,en-us
NOT,Logical,Reverses the logic of its argument,https://support.microsoft.com/en-us/office/not-function-9cfc6011-a054-40c7-a140-cd4ba2d87d77,=NOT(A2>100),NOT,en-us
NOW,Date and time,Returns the serial number of the current date and time,https://support.microsoft.com/en-us/office/now-function-3337fd29-145a-4347-b2e6-20c904739c46,NOW(),NOW,en-us
NPER,Financial,Returns the number of periods for an investment,https://support.microsoft.com/en-us/office/nper-function-240535b5-6653-4d2d-bfcf-b6a38151d815,"NPER(rate,pmt,pv,[fv],[type])",NPER,en-us
NPV,Financial,Returns the net present value of an investment based on a series of periodic cash flows and a discount rate,https://support.microsoft.com/en-us/office/npv-function-8672cb67-2576-4d07-b67b-ac28acf2a568,"NPV(rate,value1,[value2],...)",NPV,en-us
NUMBERVALUE,Text,Converts text to number in a locale-independent manner,https://support.microsoft.com/en-us/office/numbervalue-function-1b05c8cf-2bfa-4437-af70-596c7ea7d879,"NUMBERVALUE(Text, [Decimal_separator], [Group_separator ])",NUMBERVALUE,en-us
OCT2BIN,Engineering,Converts an octal number to binary,https://support.microsoft.com/en-us/office/oct2bin-function-55383471-3c56-4d27-9522-1a8ec646c589,"OCT2BIN(number, [places])",OCT2BIN,en-us
OCT2DEC,Engineering,Converts an octal number to decimal,https://support.microsoft.com/en-us/office/oct2dec-function-87606014-cb98-44b2-8dbb-e48f8ced1554,OCT2DEC(number),OCT2DEC,en-us
OCT2HEX,Engineering,Converts an octal number to hexadecimal,https://support.microsoft.com/en-us/office/oct2hex-function-912175b4-d497-41b4-a029-221f051b858f,"OCT2HEX(number, [places])",OCT2HEX,en-us
ODD,Math and trigonometry,Rounds a number up to the nearest odd integer,https://support.microsoft.com/en-us/office/odd-function-deae64eb-e08a-4c88-8b40-6d0b42575c98,ODD(number),ODD,en-us
ODDFPRICE,Financial,Returns the price per $100 face value of a security with an odd first period,https://support.microsoft.com/en-us/office/oddfprice-function-d7d664a8-34df-4233-8d2b-922bcf6a69e1,"ODDFPRICE(settlement, maturity, issue, first_coupon, rate, yld, redemption, frequency, [basis])",ODDFPRICE,en-us
ODDFYIELD,Financial,Returns the yield of a security with an odd first period,https://support.microsoft.com/en-us/office/oddfyield-function-66bc8b7b-6501-4c93-9ce3-2fd16220fe37,"ODDFYIELD(settlement, maturity, issue, first_coupon, rate, pr, redemption, frequency, [basis])",ODDFYIELD,en-us
ODDLPRICE,Financial,Returns the price per $100 face value of a security with an odd last period,https://support.microsoft.com/en-us/office/oddlprice-function-fb657749-d200-4902-afaf-ed5445027fc4,"ODDLPRICE(settlement, maturity, last_interest, rate, yld, redemption, frequency, [basis])",ODDLPRICE,en-us
ODDLYIELD,Financial,Returns the yield of a security with an odd last period,https://support.microsoft.com/en-us/office/oddlyield-function-c873d088-cf40-435f-8d41-c8232fee9238,"ODDLYIELD(settlement, maturity, last_interest, rate, pr, redemption, frequency, [basis])",ODDLYIELD,en-us
OFFSET,Lookup and reference,Returns a reference offset from a given reference,https://support.microsoft.com/en-us/office/offset-function-c8de19ae-dd79-4b9b-a14e-b4d906d11b66,"OFFSET(reference, rows, cols, [height], [width])",OFFSET,en-us
OR,Logical,Returns TRUE if any argument is TRUE,https://support.microsoft.com/en-us/office/or-function-7d17ad14-8700-4281-b308-00b131e22af0,"=OR(A2>1,A2<100)",OR,en-us
PDURATION,Financial,Returns the number of periods required by an investment to reach a specified value,https://support.microsoft.com/en-us/office/pduration-function-44f33460-5be5-4c90-b857-22308892adaf,"PDURATION(rate, pv, fv)",PDURATION,en-us
PEARSON,Statistical,Returns the Pearson product moment correlation coefficient,https://support.microsoft.com/en-us/office/pearson-function-0c3e30fc-e5af-49c4-808a-3ef66e034c18,"PEARSON(array1, array2)",PEARSON,en-us
PERCENTILE.EXC,Statistical,"Returns the k-th percentile of values in a range, where k is in the range 0..1, exclusive",https://support.microsoft.com/en-us/office/percentile-exc-function-bbaa7204-e9e1-4010-85bf-c31dc5dce4ba,=PERCENTILE.EXC(),PERCENTILE.EXC,en-us
PERCENTILE.INC,Statistical,Returns the k-th percentile of values in a range,https://support.microsoft.com/en-us/office/percentile-inc-function-680f9539-45eb-410b-9a5e-c1355e5fe2ed,"PERCENTILE.INC(array,k)",PERCENTILE.INC,en-us
PERCENTILE,Compatibility,Returns the k-th percentile of values in a range,https://support.microsoft.com/en-us/office/percentile-function-91b43a53-543c-4708-93de-d626debdddca,=PERCENTILE(),PERCENTILE,en-us
PERCENTRANK.EXC,Statistical,"Returns the rank of a value in a data set as a percentage (0..1, exclusive) of the data set",https://support.microsoft.com/en-us/office/percentrank-exc-function-d8afee96-b7e2-4a2f-8c01-8fcdedaa6314,"PERCENTRANK.EXC(array,x,[significance])",PERCENTRANK.EXC,en-us
PERCENTRANK.INC,Statistical,Returns the percentage rank of a value in a data set,https://support.microsoft.com/en-us/office/percentrank-inc-function-149592c9-00c0-49ba-86c1-c1f45b80463a,"PERCENTRANK.INC(array,x,[significance])",PERCENTRANK.INC,en-us
PERCENTRANK,Compatibility,Returns the percentage rank of a value in a data set,https://support.microsoft.com/en-us/office/percentrank-function-f1b5836c-9619-4847-9fc9-080ec9024442,"PERCENTRANK(array,x,[significance])",PERCENTRANK,en-us
PERMUT,Statistical,Returns the number of permutations for a given number of objects,https://support.microsoft.com/en-us/office/permut-function-3bd1cb9a-2880-41ab-a197-f246a7a602d3,"PERMUT(number, number_chosen)",PERMUT,en-us
PERMUTATIONA,Statistical,Returns the number of permutations for a given number of objects (with repetitions) that can be selected from the total objects,https://support.microsoft.com/en-us/office/permutationa-function-6c7d7fdc-d657-44e6-aa19-2857b25cae4e,"PERMUTATIONA(number, number-chosen)",PERMUTATIONA,en-us
PHI,Statistical,Returns the value of the density function for a standard normal distribution,https://support.microsoft.com/en-us/office/phi-function-23e49bc6-a8e8-402d-98d3-9ded87f6295c,PHI(x),PHI,en-us
PHONETIC,Text,Extracts the phonetic (furigana) characters from a text string,https://support.microsoft.com/en-us/office/phonetic-function-9a329dac-0c0f-42f8-9a55-639086988554,PHONETIC(reference),PHONETIC,en-us
PI,Math and trigonometry,Returns the value of pi,https://support.microsoft.com/en-us/office/pi-function-264199d0-a3ba-46b8-975a-c4a04608989b,PI(),PI,en-us
PMT,Financial,Returns the periodic payment for an annuity,https://support.microsoft.com/en-us/office/pmt-function-0214da64-9a63-4996-bc20-214433fa6441,"PMT(rate, nper, pv, [fv], [type])",PMT,en-us
POISSON.DIST,Statistical,Returns the Poisson distribution,https://support.microsoft.com/en-us/office/poisson-dist-function-8fe148ff-39a2-46cb-abf3-7772695d9636,"POISSON.DIST(x,mean,cumulative)",POISSON.DIST,en-us
POISSON,Compatibility,Returns the Poisson distribution,https://support.microsoft.com/en-us/office/poisson-function-d81f7294-9d7c-4f75-bc23-80aa8624173a,"POISSON(x,mean,cumulative)",POISSON,en-us
POWER,Math and trigonometry,Returns the result of a number raised to a power,https://support.microsoft.com/en-us/office/power-function-d3f2908b-56f4-4c3f-895a-07fb519c362a,"POWER(number, power)",POWER,en-us
PPMT,Financial,Returns the payment on the principal for an investment for a given period,https://support.microsoft.com/en-us/office/ppmt-function-c370d9e3-7749-4ca4-beea-b06c6ac95e1b,"PPMT(rate, per, nper, pv, [fv], [type])",PPMT,en-us
PRICE,Financial,Returns the price per $100 face value of a security that pays periodic interest,https://support.microsoft.com/en-us/office/price-function-3ea9deac-8dfa-436f-a7c8-17ea02c21b0a,"PRICE(settlement, maturity, rate, yld, redemption, frequency, [basis])",PRICE,en-us
PRICEDISC,Financial,Returns the price per $100 face value of a discounted security,https://support.microsoft.com/en-us/office/pricedisc-function-d06ad7c1-380e-4be7-9fd9-75e3079acfd3,"PRICEDISC(settlement, maturity, discount, redemption, [basis])",PRICEDISC,en-us
PRICEMAT,Financial,Returns the price per $100 face value of a security that pays interest at maturity,https://support.microsoft.com/en-us/office/pricemat-function-52c3b4da-bc7e-476a-989f-a95f675cae77,"PRICEMAT(settlement, maturity, issue, rate, yld, [basis])",PRICEMAT,en-us
PROB,Statistical,Returns the probability that values in a range are between two limits,https://support.microsoft.com/en-us/office/prob-function-9ac30561-c81c-4259-8253-34f0a238fc49,"PROB(x_range, prob_range, [lower_limit], [upper_limit])",PROB,en-us
PRODUCT,Math and trigonometry,Multiplies its arguments,https://support.microsoft.com/en-us/office/product-function-8e6b5b24-90ee-4650-aeec-80982a0512ce,"PRODUCT(number1, [number2], ...)",PRODUCT,en-us
PROPER,Text,Capitalizes the first letter in each word of a text value,https://support.microsoft.com/en-us/office/proper-function-52a5a283-e8b2-49be-8506-b2887b889f94,PROPER(text),PROPER,en-us
PV,Financial,Returns the present value of an investment,https://support.microsoft.com/en-us/office/pv-function-23879d31-0e02-4321-be01-da16e8168cbd,"PV(rate, nper, pmt, [fv], [type])",PV,en-us
QUARTILE,Compatibility,Returns the quartile of a data set,https://support.microsoft.com/en-us/office/quartile-function-93cf8f62-60cd-4fdb-8a92-8451041e1a2a,"QUARTILE(array,quart)",QUARTILE,en-us
QUARTILE.EXC,Statistical,"Returns the quartile of the data set, based on percentile values from 0..1, exclusive",https://support.microsoft.com/en-us/office/quartile-exc-function-5a355b7a-840b-4a01-b0f1-f538c2864cad,"QUARTILE.EXC(array, quart)",QUARTILE.EXC,en-us
QUARTILE.INC,Statistical,Returns the quartile of a data set,https://support.microsoft.com/en-us/office/quartile-inc-function-1bbacc80-5075-42f1-aed6-47d735c4819d,"QUARTILE.INC(array,quart)",QUARTILE.INC,en-us
QUOTIENT,Math and trigonometry,Returns the integer portion of a division,https://support.microsoft.com/en-us/office/quotient-function-9f7bf099-2a18-4282-8fa4-65290cc99dee,"QUOTIENT(numerator, denominator)",QUOTIENT,en-us
RADIANS,Math and trigonometry,Converts degrees to radians,https://support.microsoft.com/en-us/office/radians-function-ac409508-3d48-45f5-ac02-1497c92de5bf,RADIANS(angle),RADIANS,en-us
RAND,Math and trigonometry,Returns a random number between 0 and 1,https://support.microsoft.com/en-us/office/rand-function-4cbfa695-8869-4788-8d90-021ea9f5be73,RAND(),RAND,en-us
RANDARRAY,Math and trigonometry,"Returns an array of random numbers between 0 and 1. However, you can specify the number of rows and columns to fill, minimum and maximum values, and whether to return whole numbers or decimal values.",https://support.microsoft.com/en-us/office/randarray-function-21261e55-3bec-4885-86a6-8b0a47fd4d33,=RANDARRAY(),RANDARRAY,en-us
RANDBETWEEN,Math and trigonometry,Returns a random number between the numbers you specify,https://support.microsoft.com/en-us/office/randbetween-function-4cc7f0d1-87dc-4eb7-987f-a469ab381685,"RANDBETWEEN(bottom, top)",RANDBETWEEN,en-us
RANK.AVG,Statistical,Returns the rank of a number in a list of numbers,https://support.microsoft.com/en-us/office/rank-avg-function-bd406a6f-eb38-4d73-aa8e-6d1c3c72e83a,"RANK.AVG(number,ref,[order])",RANK.AVG,en-us
RANK.EQ,Statistical,Returns the rank of a number in a list of numbers,https://support.microsoft.com/en-us/office/rank-eq-function-284858ce-8ef6-450e-b662-26245be04a40,"RANK.EQ(number,ref,[order])",RANK.EQ,en-us
RANK,Compatibility,Returns the rank of a number in a list of numbers,https://support.microsoft.com/en-us/office/rank-function-6a2fc49d-1831-4a03-9d8c-c279cf99f723,"RANK(number,ref,[order])",RANK,en-us
RATE,Financial,Returns the interest rate per period of an annuity,https://support.microsoft.com/en-us/office/rate-function-9f665657-4a7e-4bb7-a030-83fc59e748ce,"RATE(nper, pmt, pv, [fv], [type], [guess])",RATE,en-us
